2014-01-01 00:00:00;3688;2
2014-01-01 00:01:00;3618;2
2014-01-01 00:02:00;3500;0
2014-01-01 00:03:00;3485;0
2014-01-01 00:04:00;3535;0
2014-01-01 00:05:00;3635;0
2014-01-01 00:06:00;3526;4
2014-01-01 00:07:00;3245;0
2014-01-01 00:08:00;3582;3
2014-01-01 00:09:00;3760;0
2014-01-01 00:10:00;3384;1
2014-01-01 00:11:00;3675;0
2014-01-01 00:12:00;3454;1
2014-01-01 00:13:00;23093;3
2014-01-01 00:14:00;3326;4
2014-01-01 00:15:00;3158;2
2014-01-01 00:16:00;3438;2
2014-01-01 00:17:00;3520;0
2014-01-01 00:18:00;3465;0
2014-01-01 00:19:00;3595;10
2014-01-01 00:20:00;3176;4
2014-01-01 00:21:00;3200;5
2014-01-01 00:22:00;3330;0
2014-01-01 00:23:00;3280;0
2014-01-01 00:24:00;3155;0
2014-01-01 00:25:00;3405;5
2014-01-01 00:26:00;3050;0
2014-01-01 00:27:00;3085;0
2014-01-01 00:28:00;3420;0
2014-01-01 00:29:00;3414;1
2014-01-01 00:30:00;3412;3
2014-01-01 00:31:00;3670;0
2014-01-01 00:32:00;3385;0
2014-01-01 00:33:00;3415;0
2014-01-01 00:34:00;3665;0
2014-01-01 00:35:00;3300;0
2014-01-01 00:36:00;3757;3
2014-01-01 00:37:00;3725;11
2014-01-01 00:38:00;3840;0
2014-01-01 00:39:00;3685;0
2014-01-01 00:40:00;3590;0
2014-01-01 00:41:00;3680;0
2014-01-01 00:42:00;3235;0
2014-01-01 00:43:00;3505;0
2014-01-01 00:44:00;3761;4
2014-01-01 00:45:00;3548;2
2014-01-01 00:46:00;3463;2
2014-01-01 00:47:00;3187;3
2014-01-01 00:48:00;3160;0
2014-01-01 00:49:00;3215;0
2014-01-01 00:50:00;3030;0
2014-01-01 00:51:00;3730;12
2014-01-01 00:52:00;3095;5
2014-01-01 00:53:00;3330;0
2014-01-01 00:54:00;3360;0
2014-01-01 00:55:00;3365;0
2014-01-01 00:56:00;3333;2
2014-01-01 00:57:00;3377;3
2014-01-01 00:58:00;2930;0
2014-01-01 00:59:00;2995;0
2014-01-01 01:00:00;3100;0
2014-01-01 01:01:00;3215;5

